,Loss
182,327.07922
183,262.87225
184,293.49762
185,247.10864
186,236.66342
187,247.57788
188,278.5687
189,292.50504
190,274.0582
191,265.5676
192,267.9291
193,273.45377
194,286.95993
195,285.74255
196,322.57208
197,323.14252
198,265.21796
199,255.05289
200,268.39893
201,265.28915
202,227.67717
203,256.4021
204,283.00858
205,290.2165
206,256.21625
207,262.72122
208,293.2141
209,261.97754
210,296.1987
211,276.86172
212,271.10904
213,262.28354
214,256.0324
215,221.27391
216,256.44748
217,255.7656
218,244.88509
219,312.42526
220,269.1737
221,253.15118
222,268.0801
223,321.3952
224,280.4855
225,259.55225
226,233.94025
227,235.91794
228,276.48312
229,259.54556
230,278.59845
231,262.41516
232,247.54037
233,261.71387
234,261.5343
235,265.4013
236,198.04999
237,251.09395
238,240.1779
239,255.71115
240,234.69731
241,254.13979
242,240.06473
243,246.91914
244,235.29344
245,259.0843
246,254.12158
247,295.4371
248,280.56348
249,243.97
250,222.7704
251,247.04608
252,242.63042
253,281.401
254,221.14426
255,255.32465
256,251.98901
257,227.13373
258,270.44553
259,267.2816
260,231.74214
261,267.277
262,241.23807
263,251.71028
264,228.29752
265,254.16519
266,241.45134
267,278.067
268,228.01524
269,232.07364
270,239.32777
271,233.82751
272,222.74393
273,248.85893
274,254.19955
275,226.20667
276,220.21428
277,260.68637
278,194.8128
279,229.78827
280,257.709
281,202.98332
282,246.56161
283,238.28445
284,195.6673
285,218.84375
286,250.75931
287,233.55435
288,181.98993
289,234.97073
290,216.143
291,219.10648
292,209.9275
293,233.95087
294,234.84915
295,208.86093
296,206.68642
297,207.05382
298,235.92844
299,213.44016
300,198.68448
301,220.93774
302,198.60214
303,225.86691
304,234.7999
305,234.9846
306,215.3179
307,200.55473
308,234.71414
309,213.88586
310,204.8364
311,211.7009
312,189.30309
313,188.82964
314,227.04108
315,221.25595
316,222.79053
317,234.54312
318,198.058
319,202.0462
320,208.86133
321,193.55661
322,218.23615
323,222.73032
324,196.72354
325,175.19724
326,209.63411
327,197.37988
328,171.3848
329,227.1799
330,217.03735
331,200.23953
332,204.78627
333,226.39465
334,200.84985
335,205.40271
336,192.21753
337,195.88403
338,202.23518
339,192.03317
340,228.78061
341,203.68918
342,231.21288
343,172.25146
344,230.00757
345,228.57713
346,202.2875
347,217.87903
348,193.17982
349,202.29588
350,206.74039
351,156.09737
352,226.21262
353,200.68512
354,203.23032
355,172.49129
356,186.98123
357,198.19415
358,177.91489
359,166.21739
360,173.86548
361,163.34213
362,157.13095
363,206.34204
364,153.85602
365,180.10727
366,170.9682
367,158.87842
368,189.4896
369,166.59573
370,185.30856
371,182.80249
372,147.55472
373,149.84424
374,167.93982
375,166.22003
376,153.44923
377,178.6071
378,179.76523
379,146.78448
380,184.32532
381,150.28897
382,175.37361
383,164.74605
384,208.16187
385,174.47723
386,158.90178
387,150.07004
388,208.16483
389,133.33481
390,146.11713
391,162.12265
392,176.90338
393,167.6609
394,149.51974
395,155.29077
396,178.52289
397,152.94359
398,158.00812
399,159.65912
400,145.706
401,167.37448
402,158.76837
403,166.83154
404,155.36522
405,181.73189
406,161.0972
407,154.11545
408,164.44775
409,163.68507
410,149.19725
411,184.45757
412,159.76219
413,147.2026
414,149.07379
415,164.02483
416,150.95071
417,149.5902
418,187.703
419,172.62453
420,155.50012
421,158.72531
422,170.75598
423,158.84647
424,135.75786
425,182.70477
426,134.79498
427,173.23282
428,133.49231
429,157.1464
430,156.75891
431,146.85013
432,160.69125
433,164.87962
434,143.64333
435,158.53854
436,153.3484
437,172.06659
438,172.83574
439,158.4682
440,174.10599
441,178.08673
442,157.52103
443,157.20732
444,169.07576
